2017/08/20 13:43:05 [crit] 7#7: *1 realpath() "/srv/web" failed (2: No such file or directory), client: 192.168.128.1, server: , request: "GET /app_dev.php HTTP/1.1", host: "localhost:8080"
2017/08/20 13:43:05 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.128.1, server: , request: "GET /app_dev.php HTTP/1.1", upstream: "fastcgi://192.168.128.7:9000", host: "localhost:8080"
2017/08/20 14:23:36 [error] 7#7: *25 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Cannot use Sensio\Bundle\FrameworkExtraBundle\Configuration\Route as Route because the name is already in use in /srv/src/symball/ApiBundle/Controller/InspectionController.php on line 11" while reading response header from upstream, client: 192.168.128.1, server: , request: "GET /app_dev.php HTTP/1.1", upstream: "fastcgi://192.168.128.7:9000", host: "localhost:8080"
2017/08/23 06:03:15 [error] 7#7: *2 open() "/srv/web/bundles/framework/css/structure.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/structure.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:03:15 [error] 7#7: *10 open() "/srv/web/bundles/framework/css/exception.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/exception.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:03:15 [error] 7#7: *11 open() "/srv/web/bundles/framework/css/body.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/body.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:03:39 [error] 7#7: *2 open() "/srv/web/bundles/framework/css/body.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/body.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:03:39 [error] 7#7: *2 open() "/srv/web/bundles/framework/css/exception.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/exception.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:03:39 [error] 7#7: *2 open() "/srv/web/bundles/framework/css/structure.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/structure.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:05:43 [error] 7#7: *15 open() "/srv/web/bundles/framework/css/structure.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/structure.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:05:43 [error] 7#7: *15 open() "/srv/web/bundles/framework/css/body.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/body.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:05:43 [error] 7#7: *18 open() "/srv/web/bundles/framework/css/exception.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/framework/css/exception.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 06:07:27 [error] 7#7: *20 open() "/srv/web/bundles/pivot88quality/vendor/jquery/dist/jquery.min.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery/dist/jquery.min.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
